Age,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
22,Travel_Rarely,Sales,2,Human Resources,Male,Manager,2,16225,8,Yes,17,1,4,4,1,2,3,1,4,0,4,1,Yes
42,Travel_Rarely,Sales,12,Life Sciences,Female,Manager,1,5569,6,Yes,12,2,20,4,1,3,3,1,2,2,1,0,No
23,Travel_Rarely,Sales,15,Marketing,Female,Sales Executive,3,11508,1,No,20,1,5,5,2,1,2,1,5,1,3,3,No
56,Non-Travel,Research & Development,9,Human Resources,Female,Laboratory Technician,4,15545,6,No,25,3,9,2,2,1,2,1,1,0,1,1,Yes
48,Travel_Rarely,Sales,28,Other,Female,Manager,1,3943,6,No,17,3,16,2,2,2,1,4,15,3,2,8,Yes
42,Travel_Rarely,Sales,30,Other,Male,Sales Executive,3,19035,2,No,19,0,19,2,1,4,4,3,0,0,0,0,Yes
40,Travel_Rarely,Sales,25,Human Resources,Male,Sales Representative,5,19855,6,Yes,14,1,22,2,1,1,4,4,1,1,0,1,Yes
49,Travel_Rarely,Sales,3,Life Sciences,Male,Sales Representative,1,2635,8,Yes,14,2,31,1,1,3,2,2,0,1,0,0,No
47,Travel_Rarely,Sales,28,Other,Male,Sales Executive,4,17703,5,Yes,23,0,7,1,3,4,2,4,1,1,1,0,No
38,Travel_Frequently,Research & Development,3,Medical,Female,Healthcare Representative,4,2883,3,No,24,3,4,1,4,1,4,1,4,0,0,3,No
50,Travel_Rarely,Research & Development,2,Other,Female,Research Scientist,1,9533,7,No,19,1,3,4,2,4,1,2,2,0,1,0,No
36,Travel_Rarely,Research & Development,11,Other,Female,Laboratory Technician,3,19530,6,No,13,2,14,2,1,2,1,1,3,0,3,3,No
